Function,Class,chunks0,chunks1,chunks2,chunks3,chunks4,ct,cube
4092023779,1,2,3,4,3,2,12,8
4022873928,1,2,3,5,3,2,12,8
2824118273,1,2,3,4,3,2,12,9
1312945658,0,2,4,4,3,2,14,17
1285080112,1,2,3,4,3,2,14,16
2427576801,1,2,3,4,3,2,13,8
2137815027,1,2,3,5,4,2,12,17
2357995225,0,2,4,4,3,2,14,9
2585825424,1,2,3,4,3,2,14,10
4173592777,1,2,4,4,3,2,12,8
1511587737,0,2,3,3,3,2,14,16
4044030117,1,2,3,4,3,2,12,7
1528780828,1,2,3,4,3,2,10,11
2509586282,0,2,4,2,2,2,15,11
4292872725,1,2,4,3,3,2,13,8
4137878864,0,2,4,4,3,2,14,9
1060105839,1,2,3,4,4,2,13,7
1378396712,1,2,3,4,3,2,12,14
2768242856,1,2,3,4,3,2,11,8
2644051976,1,2,3,4,3,2,10,7
51344504,0,2,4,4,3,2,12,8
1879041786,1,2,3,4,3,2,13,19
3149869246,1,2,3,5,4,2,13,7
684260,1,2,3,4,3,2,13,8
1738553328,1,2,4,4,3,2,12,14
100955123,1,2,4,4,3,2,12,13
2679070831,1,2,4,4,3,2,13,9
2650409996,1,2,4,5,3,2,11,8
1429665269,1,2,4,4,3,2,11,13
2856342951,1,2,3,4,3,2,13,9
1869584799,0,2,3,3,2,2,14,15
183869548,0,2,4,4,3,2,14,10
1392552543,1,2,3,4,3,2,10,11
2276751291,0,2,4,4,3,2,13,10
4290465799,1,2,3,4,3,2,11,7
553067492,1,2,4,5,3,2,13,8
1035812543,1,2,3,4,3,2,10,7
1143798715,1,2,4,4,4,2,14,15
2472945704,1,2,3,5,3,2,15,11
1241516565,1,2,3,4,3,2,11,11
1597237155,1,2,4,5,4,2,14,15
3225357478,0,2,4,4,3,2,14,10
3023864845,1,2,3,4,3,2,12,7
1437553151,1,2,3,3,3,2,9,12
3503337475,1,2,3,4,3,2,11,6
4006509949,1,2,3,4,3,2,11,8
3511092016,1,2,3,4,3,2,13,8
3951788939,1,2,3,4,3,2,13,11
1790894903,1,2,4,5,4,2,15,19
1013988474,1,2,3,4,3,2,10,6
2990211835,1,2,3,5,3,2,12,7
4262784853,1,2,4,4,3,2,11,8
1325358879,1,2,3,4,3,2,11,12
3343345455,1,2,4,4,3,2,14,8
3285909594,0,2,3,3,3,2,14,8
203301427,1,2,3,5,3,2,11,6
272708300,1,2,3,4,3,2,14,18
3304584177,1,2,3,4,3,2,10,6
4264490453,1,2,3,4,3,2,12,9
1600976138,0,2,4,4,3,2,14,18
487980463,1,2,4,5,4,2,13,20
1282323387,1,2,3,4,3,2,11,14
4210374966,0,2,4,3,2,2,15,10
1997492288,1,2,3,5,4,2,12,12
3473535152,1,2,3,4,3,2,13,9
4005490365,1,2,3,3,3,2,11,9
3975065188,1,2,4,5,4,2,13,9
2147413710,1,2,3,4,4,2,12,19
3974896867,0,2,4,4,3,2,14,9
4282059017,0,2,3,3,3,2,11,7
2367855667,0,2,4,4,3,2,12,7
854931157,1,2,4,5,4,2,12,8
3825920773,0,2,4,4,3,2,14,9
1002059834,1,2,3,4,4,2,11,9
1464131581,1,2,3,4,3,2,10,12
2174330367,0,2,3,3,3,2,14,8
3473067793,1,2,3,4,3,2,9,5
1605111390,1,2,3,4,3,2,12,15
1425232977,0,2,3,3,3,2,11,12
2175665582,1,2,4,4,3,2,12,8
3787713481,0,2,4,4,3,2,12,8
1578695338,1,2,3,5,3,2,13,17
3723380202,1,2,3,4,3,2,12,9
1375559663,1,2,4,4,4,2,14,15
2208375298,1,2,4,4,3,2,14,8
746421628,1,2,4,4,3,2,12,7
303174305,1,2,3,3,2,2,15,20
2678002462,1,2,3,4,3,2,12,8
588277367,1,2,4,4,3,2,12,7
2669379515,1,2,3,4,3,2,14,9
